Dim,S0,Basis,Mean Price,Std Dev,Avg Time (s)
2,90,Monomial,15.949604979631411,0.06175419959942678,0.06355492000002413
2,90,Laguerre,15.949604979631411,0.06175419959942678,0.07938460999866948
2,90,Hermite,15.949604979631411,0.06175419959942678,0.08751944999967236
2,90,Legendre,15.949604979631411,0.06175419959942678,0.07538613000069745
2,90,Chebyshev,15.949604979631411,0.06175419959942678,0.06888385999773164
2,100,Monomial,10.907405196023202,0.06867215418992091,0.0521612600015942
2,100,Laguerre,10.907405196023202,0.06867215418992091,0.06447614000353497
2,100,Hermite,10.907405196023202,0.06867215418992091,0.07446711000229697
2,100,Legendre,10.907405196023202,0.06867215418992091,0.06637858000467531
2,100,Chebyshev,10.907405196023202,0.06867215418992091,0.06227475999912713
2,110,Monomial,7.256204577563118,0.05350344111797349,0.04326605000533164
2,110,Laguerre,7.256204577563118,0.05350344111797349,0.053683980004279874
2,110,Hermite,7.256204577563118,0.05350344111797349,0.06028216000413522
2,110,Legendre,7.256204577563118,0.05350344111797349,0.05697935000353027
2,110,Chebyshev,7.256204577563118,0.05350344111797349,0.05187806999892928
10,90,Monomial,10.919643085906229,0.024905974649521025,0.06671519000374246
10,90,Laguerre,10.919643085906229,0.024905974649521025,0.07942762999446132
10,90,Hermite,10.919643085906229,0.024905974649521025,0.09149912999710068
10,90,Legendre,10.919643085906229,0.024905974649521025,0.08711835000431165
10,90,Chebyshev,10.919643085906229,0.024905974649521025,0.07143156999954954
10,100,Monomial,4.770281430724099,0.03243313819162791,0.05273489000392147
10,100,Laguerre,4.770281430724099,0.03243313819162791,0.065839780002716
10,100,Hermite,4.770281430724099,0.03243313819162791,0.07614424999628681
10,100,Legendre,4.770281430724099,0.03243313819162791,0.06452195999445394
10,100,Chebyshev,4.770281430724099,0.03243313819162791,0.059574219991918656
10,110,Monomial,1.6327984080143279,0.026663810480578455,0.034941010002512485
10,110,Laguerre,1.6327984080143279,0.026663810480578455,0.042662329997983764
10,110,Hermite,1.6327984080143279,0.026663810480578455,0.047121519997017455
10,110,Legendre,1.6327984080143279,0.026663810480578455,0.044278429992846216
10,110,Chebyshev,1.6327984080143279,0.026663810480578455,0.04101052000478376
25,90,Monomial,10.016716622899505,0.018957083790283675,0.07082571999635548
25,90,Laguerre,10.016716622899505,0.018957083790283675,0.08585012999537867
25,90,Hermite,10.016716622899505,0.018957083790283675,0.10159000999992714
25,90,Legendre,10.016716622899505,0.018957083790283675,0.08685419999528676
25,90,Chebyshev,10.016716622899505,0.018957083790283675,0.08146001999848522
25,100,Monomial,2.898996658507361,0.03002420166519711,0.05636196999403183
25,100,Laguerre,2.898996658507361,0.03002420166519711,0.06830568000150379
25,100,Hermite,2.898996658507361,0.03002420166519711,0.07700485000386834
25,100,Legendre,2.898996658507361,0.03002420166519711,0.06736594999674708
25,100,Chebyshev,2.898996658507361,0.03002420166519711,0.06214537000050768
25,110,Monomial,0.4289783366370047,0.011630781252465788,0.03810784000088461
25,110,Laguerre,0.4289783366370047,0.011630781252465788,0.045690059999469665
25,110,Hermite,0.4289783366370047,0.011630781252465788,0.04453737000003457
25,110,Legendre,0.4289783366370047,0.011630781252465788,0.04576777000620495
25,110,Chebyshev,0.4289783366370047,0.011630781252465788,0.04152292000071611
